Régime prioritaire;Régime particulier;Type de stationnement;Arrondissement;Nombre places calculées;Nombre places réelles;Zones Résidentielles;Localisation stationnement;Numéro voie;Type voie;Nom voie;Complément numéro voie;Localisation numéro;Parité;Longueur;Largeur;Surface calculée;Signalisation horizontale;Signalisation verticale;Conformité signalisation;Type mobilier;Numéro mobilier;Plage horaire 1-Début;Plage horaire 1-Fin;Plage horaire 2-Début;Plage horaire 2-Fin;Plage horaire 3-Début;Plage horaire 3-Fin;Nouvel identifiant;Ancien identifiant;Code voie Ville de Paris;Numéro séquentiel Tronçon voie;Numéro ilot;Numéro IRIS;Zone ASP;Numéro Section Territoriale de Voirie;Compétence préfecture;Dernière modification;Date du relevé;1er numéro tronçon voie;Dernier numéro tronçon voie;geo_shape;geo_point_2d
LIVRAISON;ZL périodique;Longitudinal;18;1;1;18M;Chaussée;54;RUE DU;SIMPLON;;Droit;Pair;11.6914808;2.0;23.3827061;Présente;Absente;Conforme;;;;;;;;;53820;;8609;750593998;;;18Z4;STV Nord-Ouest;;2025-04-08;2025-04-08;54;54;"{""coordinates"": [2.3466515217315695, 48.89478427260062], ""type"": ""Point""}";48.89478427260062, 2.3466515217315695
LIVRAISON;ZL permanente;Longitudinal;8;1;1;8H;Chaussée;27;AV;MATIGNON;;Droit;Impair;8.82795168;2.0;17.65591596;Présente;Absente;Conforme;;;;;;;;;56921;;6093;1750603311;;;08Z3;STV Nord-Ouest;;2026-01-07;2026-01-07;19;27;"{""coordinates"": [2.3138958546924653, 48.871483152397765], ""type"": ""Point""}";48.871483152397765, 2.3138958546924653
LIVRAISON;ZL permanente;Longitudinal;9;1;1;9E;Demi lincoln;86;RUE D';AMSTERDAM;;Droit;Pair;10.02000129;2.0;20.03957297;Présente;Absente;Conforme;;;;;;;;;54102;;0296;750599961;;;1;STV Centre;;2025-05-20;2023-07-21;80;106;"{""coordinates"": [2.327140008324365, 48.88180868575576], ""type"": ""Point""}";48.88180868575576, 2.327140008324365
LIVRAISON;ZL périodique;Longitudinal;17;2;2;17M;Chaussée;10;PL DE LA;PORTE DE CHAMPERRET;;Droit;Pair;17.91998989;2.0;35.84024193;Présente;Absente;Conforme;;;;;;;;;46504;;7611;750598742;;;17ZD;STV Nord-Ouest;;2022-11-03;2022-09-24;6;12;"{""coordinates"": [2.2903651309192994, 48.88628807386679], ""type"": ""Point""}";48.88628807386679, 2.2903651309192994
LIVRAISON;ZL périodique;Longitudinal;14;1;1;14G;Lincoln;90;BD;JOURDAN;92;Droit;Pair;11.17397768;2.0;22.34739511;Présente;Absente;Conforme;;;;;;;;;40907;;4916;750618657;;;14Z2B;STV Sud;;2021-09-28;2021-04-01;50;100;"{""coordinates"": [2.3274849040342573, 48.82290185089251], ""type"": ""Point""}";48.82290185089251, 2.3274849040342573
LIVRAISON;ZL permanente;Longitudinal;2;2;2;2E;Chaussée;7;RUE;MONSIGNY;;Droit;Impair;19.89331993;2.0;39.78708807;Présente;Absente;Conforme;;;;;;;;;51341;;6372;1750604079;;;02Z1;STV Centre;;2024-05-17;2024-05-17;1;9;"{""coordinates"": [2.3352589681933216, 48.8685284994005], ""type"": ""Point""}";48.8685284994005, 2.3352589681933216
LIVRAISON;ZL périodique;Longitudinal;1;1;1;1E;Lincoln;41;RUE;BERGER;;Droit;Impair;14.49513647;2.0;28.98972213;Présente;Absente;Conforme;;;;;;;;;38734;;0883;1750606587;;;01Z2;STV Centre;;2021-06-11;2020-08-01;41;45;"{""coordinates"": [2.3429880295882497, 48.862064639814385], ""type"": ""Point""}";48.862064639814385, 2.3429880295882497
LIVRAISON;ZL périodique;Longitudinal;14;1;1;14J;Chaussée;8;RUE;SARRETTE;Bis;vis-à-vis;Impair;10.21024772;2.0;20.42090968;Présente;Absente;Conforme;;0;;;;;;;40825;;8468;1750617750;;;14Z2B;STV Sud;;2022-10-05;2022-07-01;1;11;"{""coordinates"": [2.3313988141341477, 48.82723807947903], ""type"": ""Point""}";48.82723807947903, 2.3313988141341477
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17E;Chaussée;15;RUE;BREY;;Droit;Impair;9.90001543;2.0;19.80018195;Présente;Absente;Conforme;;;;;;;;;46447;;1291;1750601566;;;17ZG;STV Nord-Ouest;;2022-10-27;2022-09-23;1;25;"{""coordinates"": [2.295645711003325, 48.876547156016436], ""type"": ""Point""}";48.876547156016436, 2.295645711003325
LIVRAISON;ZL permanente;Longitudinal;15;2;2;15J;Chaussée;230;RUE DE;VAUGIRARD;;Droit;Pair;20.96100708;2.0;41.92181816;Présente;Absente;Conforme;;;;;;;;;40668;;9671;750614002;;;15Z4;STV Sud-Ouest;;2024-09-30;2023-08-09;228;230;"{""coordinates"": [2.304536254217185, 48.84049888047221], ""type"": ""Point""}";48.84049888047221, 2.304536254217185
LIVRAISON;ZL périodique;Longitudinal;12;1;1;12F;Chaussée;42;RUE;GABRIEL LAME;;Droit;Pair;9.99227979;2.0;19.98430239;Présente;Absente;Conforme;;;;;;;;;17;;3905;750615739;;;12ZD;STV Sud-Est;;2019-01-04;2020-08-31;36;52;"{""coordinates"": [2.3859821991482555, 48.834847610854425], ""type"": ""Point""}";48.834847610854425, 2.3859821991482555
LIVRAISON;ZL périodique;Longitudinal;1;1;1;1E;Lincoln;48;RUE;BERGER;;vis-à-vis;Impair;10.292506;2.0;20.58519396;Présente;Absente;Conforme;;;;;;;;;4564;;0883;1750606471;;;01Z2;STV Centre;;2021-06-11;2020-08-01;0;51;"{""coordinates"": [2.3418317773767834, 48.862332772719796], ""type"": ""Point""}";48.862332772719796, 2.3418317773767834
LIVRAISON;ZL périodique;Longitudinal;15;2;2;15F;Chaussée;7;RUE DE LA;CAVALERIE;;Droit;Impair;9.00135926;2.0;18.0026075;Présente;Absente;Conforme;;;;;;;;;1450;;1611;1750610940;;;15Z1;STV Sud-Ouest;;2020-08-28;2020-08-20;1;9;"{""coordinates"": [2.300735962997984, 48.84967035467484], ""type"": ""Point""}";48.84967035467484, 2.300735962997984
LIVRAISON;ZL permanente;Longitudinal;6;1;1;6E;Demi lincoln;1;QU DES;GRANDS AUGUSTINS;;Droit;Impair;10.63633276;2.0;21.272732;Présente;Avec panonceau;SV Non-conforme;;;09:30;16:30;19:30;07:30;;;10321;;4245;1750609377;;;06Z2;STV Sud;;2020-08-12;2020-07-22;1;23;"{""coordinates"": [2.343767557781654, 48.853943717487354], ""type"": ""Point""}";48.853943717487354, 2.343767557781654
LIVRAISON;ZL permanente;Longitudinal;4;1;1;4E;Lincoln;23;RUE;RAMBUTEAU;;Droit;Impair;10.80389905;2.0;21.60822163;Présente;Absente;Conforme;;;;;;;;;6450;;8024;1750607081;;;04Z2;STV Centre;;2019-01-04;2020-08-31;19;23;"{""coordinates"": [2.354585899098839, 48.860823307207454], ""type"": ""Point""}";48.860823307207454, 2.354585899098839
LIVRAISON;ZL permanente;Longitudinal;4;1;1;34F;Chaussée;2;RUE DE LA;BASTILLE;;vis-à-vis;Impair;11.99621887;2.0;23.99259203;Présente;Absente;Conforme;;;;;;;;;7737;;0698;1750609356;;;04Z3;STV Centre;;2020-08-06;2020-07-20;1;7;"{""coordinates"": [2.3676405541017584, 48.853878846374954], ""type"": ""Point""}";48.853878846374954, 2.3676405541017584
LIVRAISON;ZL permanente;Longitudinal;10;1;1;10G;Chaussée;184;RUE;LA FAYETTE;;Centre;Pair;12.23463071;2.0;24.46929889;Présente;Absente;Conforme;;;;;;;;;51454;;5159;750600086;;;10Z1;STV Centre;;2025-05-23;2024-06-01;180;202;"{""coordinates"": [2.3629066335606876, 48.880860695477395], ""type"": ""Point""}";48.880860695477395, 2.3629066335606876
LIVRAISON;ZL permanente;Longitudinal;9;1;1;9G;Lincoln;14;RUE DE;CAUMARTIN;;Droit;Pair;8.37424535;2.0;16.74854884;Présente;Absente;Conforme;;;;;;;;;51468;;1609;750620208;;;5;STV Centre;;2024-06-10;2023-11-29;2;16;"{""coordinates"": [2.3281374800181194, 48.87123028318677], ""type"": ""Point""}";48.87123028318677, 2.3281374800181194
LIVRAISON;ZL permanente;Longitudinal;9;1;1;9G;Chaussée;34;BD;HAUSSMANN;;Droit;Pair;11.84510555;2.0;23.68977029;Présente;Absente;Conforme;;;;;;;;;18436;;4437;750602581;;;4;STV Centre;;2024-04-16;2024-04-01;28;36;"{""coordinates"": [2.3342248999946897, 48.872837292969926], ""type"": ""Point""}";48.872837292969926, 2.3342248999946897
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17R;Chaussée;85;RUE;LEGENDRE;;vis-à-vis;Pair;10.74994632;2.0;21.50043887;Présente;Absente;Conforme;;;;;;;;;43048;;5411;750598233;;;17ZJ;STV Nord-Ouest;;2021-11-25;2021-08-11;100;110;"{""coordinates"": [2.32041772275468, 48.88773818532], ""type"": ""Point""}";48.88773818532, 2.32041772275468
LIVRAISON;ZL permanente;Longitudinal;13;1;1;13M;Chaussée;54;AV D';IVRY;;Droit;Pair;10.77999139;2.0;21.56002339;Présente;Absente;Conforme;;0;;;;;;;11911;;4695;750618474;;;13Z6;STV Sud-Est;;2022-05-12;2021-07-21;54;68;"{""coordinates"": [2.364774681283503, 48.82382468282917], ""type"": ""Point""}";48.82382468282917, 2.364774681283503
LIVRAISON;ZL périodique;Longitudinal;9;1;1;9F;Lincoln;64;RUE;JEAN-BAPTISTE PIGALLE;;Droit;Pair;11.2072513;2.0;22.41427154;Présente;Absente;Conforme;;;;;;;;;51421;;4773;750599979;;;1;STV Centre;;2024-06-11;2024-04-30;58;66;"{""coordinates"": [2.336833788430228, 48.88167776608468], ""type"": ""Point""}";48.88167776608468, 2.336833788430228
LIVRAISON;ZL permanente;Longitudinal;2;3;3;2E;Chaussée;63;RUE DE;RICHELIEU;;Droit;Impair;32.53816946;2.0;65.07093746;Présente;Absente;Conforme;;;;;;;;;16618;;8201;1750604549;;;02Z1;STV Centre;;2019-11-19;2020-08-31;55;69;"{""coordinates"": [2.3375665518043407, 48.86707979523781], ""type"": ""Point""}";48.86707979523781, 2.3375665518043407
LIVRAISON;ZL périodique;Longitudinal;20;1;1;20N;Lincoln;5;AV DU;DOCTEUR GLEY;;vis-à-vis;Pair;12.02787748;2.0;24.05527892;Présente;Absente;Conforme;;;;;;;;;23675;;2854;750600997;;;20Z3;STV Nord-Est;;2019-01-04;2020-08-31;2;8;"{""coordinates"": [2.4097584922742326, 48.87743301777578], ""type"": ""Point""}";48.87743301777578, 2.4097584922742326
LIVRAISON;ZL périodique;Longitudinal;20;1;1;20J;Chaussée;;RUE;MARYSE HILSZ;angle avec la rue Charles et Robert;Droit;Inconnu;7.75330903;2.0;15.95622218;Présente;Absente;Conforme;;;;;;;;;23783;;6069;1750594958;;;20Z6;STV Nord-Est;;2024-04-18;2021-08-12;0;0;"{""coordinates"": [2.4121498550693112, 48.853482714360105], ""type"": ""Point""}";48.853482714360105, 2.4121498550693112
LIVRAISON;ZL permanente;Longitudinal;18;1;1;18J;Chaussée;10;RUE DU;CANADA;;vis-à-vis;Impair;12.02142528;2.0;24.04339639;Présente;Absente;Conforme;;;;;;;;;24641;;1470;1750593958;;;18Z1;STV Nord-Ouest;;2020-08-31;2020-08-13;1;7;"{""coordinates"": [2.362569824719958, 48.890576927709944], ""type"": ""Point""}";48.890576927709944, 2.362569824719958
LIVRAISON;ZL permanente;Longitudinal;1;1;1;1E;Chaussée;28;QU DU;LOUVRE;;Droit;Pair;4.70031523;2.0;9.40048677;Absente;Avec panonceau;Non conforme;;;19:30;07:30;09:30;16:30;;;24767;;5765;750607709;;;01Z2;STV Centre;;2020-09-04;2020-09-03;14;30;"{""coordinates"": [2.3406059115998423, 48.858914475527655], ""type"": ""Point""}";48.858914475527655, 2.3406059115998423
LIVRAISON;ZL périodique;Longitudinal;6;1;1;6E;Chaussée;13;RUE;GUENEGAUD;;Droit;Impair;10.09484658;2.0;20.1898245;Présente;Absente;Conforme;;;;;;;;;22491;;4330;1750608903;;;06Z2;STV Sud;;2019-11-21;2020-08-31;1;35;"{""coordinates"": [2.3391330312291734, 48.85598704859335], ""type"": ""Point""}";48.85598704859335, 2.3391330312291734
LIVRAISON;ZL permanente;Longitudinal;3;1;1;34F;Faux lincoln;2;RUE;ROGER VERLOMME;;Droit;Pair;11.44464662;2.0;22.88943063;Présente;Absente;Conforme;;0;;;;;;;;830801D200509050644;8285;750608454;;;03Z3;STV Centre;;2024-06-20;2024-05-01;2;14;"{""coordinates"": [2.3670061112730183, 48.85667709653862], ""type"": ""Point""}";48.85667709653862, 2.3670061112730183
LIVRAISON;ZL périodique;Longitudinal;12;1;1;12L;Chaussée;18;RUE DES;MEUNIERS;20;vis-à-vis;Impair;9.36234102;2.0;18.72445982;Présente;Absente;Conforme;;0;;;;;;;;630404G20111107120027;6224;1750616054;;;12ZE;STV Sud-Est;;2024-02-06;2024-02-06;27;27;"{""coordinates"": [2.3980891282293046, 48.833933593533665], ""type"": ""Point""}";48.833933593533665, 2.3980891282293046
LIVRAISON;ZL périodique;Longitudinal;8;1;1;8G;Chaussée;12;RUE;ARSENE HOUSSAYE;;Droit;Pair;7.81983345;2.0;15.63968262;Présente;Absente;Conforme;;0;;;;;;;;047303D200509050099;0442;750602131;;;08Z2;STV Nord-Ouest;;2024-07-03;2024-08-01;8;14;"{""coordinates"": [2.2998587402624033, 48.87471625916515], ""type"": ""Point""}";48.87471625916515, 2.2998587402624033
LIVRAISON;ZL périodique;Longitudinal;15;2;2;15V;Chaussée;21;RUE;FERDINAND FABRE;;Droit;Impair;18.09862322;2.0;36.19683172;Présente;Absente;Conforme;;0;;;;;;;;358501G200509052099;3599;1750614747;;;15Z7;STV Sud-Ouest;;2024-04-18;2023-08-09;1;21;"{""coordinates"": [2.2974852532768772, 48.83812903483198], ""type"": ""Point""}";48.83812903483198, 2.2974852532768772
LIVRAISON;ZL permanente;Longitudinal;8;2;2;8H;Chaussée;1;RUE;JEAN MERMOZ;Bis;Droit;Impair;15.69652691;2.0;31.39236804;Présente;Absente;Conforme;;0;;;;;;;;492101G200509051336;4820;1750603570;;;08Z3;STV Nord-Ouest;;2024-08-01;2024-07-31;1;1;"{""coordinates"": [2.310798519068113, 48.869929755999834], ""type"": ""Point""}";48.869929755999834, 2.310798519068113
LIVRAISON;ZL périodique;Longitudinal;13;1;1;13G;Chaussée;53;RUE;BARRAULT;;Droit;Impair;14.39999594;2.0;29.54190084;Abimé;Absente;SH Non-conforme;;0;;;;;;;;067909G200509050292;0666;1750618108;;;13Z3;STV Sud-Est;;2022-12-29;2022-09-01;53;55;"{""coordinates"": [2.3466111984113778, 48.826198891984724], ""type"": ""Point""}";48.826198891984724, 2.3466111984113778
LIVRAISON;ZL périodique;Longitudinal;10;1;1;10F;Lincoln;3;RUE DE L';ECHIQUIER;*** travaux;Droit;Impair;12.10365814;2.0;24.20697261;Présente;Absente;Conforme;;0;;;;;;;;308401G20080923120245;3116;1750603149;;;10Z2;STV Centre;;2023-07-12;2022-08-29;1;9;"{""coordinates"": [2.3529554065913696, 48.871010728991166], ""type"": ""Point""}";48.871010728991166, 2.3529554065913696
LIVRAISON;ZL permanente;Longitudinal;10;1;1;10F;Chaussée;50;RUE DU;FAUBOURG SAINT-DENIS;;Droit;Pair;12.50959858;2.0;25.01844972;Présente;Absente;Conforme;;0;;;;;;;;351604D20060315162112;3541;750602901;;;10Z2;STV Centre;;2024-04-18;2023-01-04;48;54;"{""coordinates"": [2.3538896005904824, 48.871963787367775], ""type"": ""Point""}";48.871963787367775, 2.3538896005904824
LIVRAISON;ZL permanente;Longitudinal;10;1;1;10G;Chaussée;32;RUE DE;ROCROY;;Droit;Pair;14.35229049;2.0;28.69962867;Présente;Absente;Conforme;;0;;;;;;;;829504D2007022293630;8272;750600064;;;10Z1;STV Centre;;2023-01-13;2023-01-04;30;34;"{""coordinates"": [2.351263096416276, 48.88103254901367], ""type"": ""Point""}";48.88103254901367, 2.351263096416276
LIVRAISON;ZL périodique;Longitudinal;11;1;1;11G;Chaussée;6;RUE;JEAN-PIERRE TIMBAUD;;Droit;Pair;9.58660327;2.0;19.17294928;Présente;Absente;Conforme;;0;;;;;;;;493902D200509051041;4837;750605286;;;11Z1;STV Nord-Est;;2023-02-03;2023-02-03;6;12;"{""coordinates"": [2.366838829324049, 48.864915198666466], ""type"": ""Point""}";48.864915198666466, 2.366838829324049
LIVRAISON;ZL permanente;Longitudinal;1;1;1;1E;Chaussée;245;RUE;SAINT-HONORE;;Droit;Impair;9.94040279;2.0;19.88087259;Présente;Absente;Conforme;;0;;;;;;;;863527G20111128104445;8860;1750604472;;;01Z1;STV Centre;;2025-09-03;2025-09-01;243;261;"{""coordinates"": [2.3275832667531917, 48.86696245964726], ""type"": ""Point""}";48.86696245964726, 2.3275832667531917
LIVRAISON;ZL périodique;Longitudinal;12;1;1;12F;Lincoln;52;RUE DE;CHALON;;Droit;Pair;11.93630433;2.0;23.87251517;Présente;Absente;Conforme;;0;;;;;;;;169503D20081020155834;1696;750612441;;;12ZD;STV Sud-Est;;2024-08-21;2024-08-20;48;54;"{""coordinates"": [2.374773441774732, 48.84556540564548], ""type"": ""Point""}";48.84556540564548, 2.374773441774732
LIVRAISON;ZL permanente;Longitudinal;14;1;1;14L;Chaussée;33;RUE;BREZIN;;vis-à-vis;Pair;10.00967027;2.0;20.01959075;Présente;Absente;Conforme;;0;;;;;;;;128803D20081020174125;1292;750616624;;;14Z2A;STV Sud;;2023-03-20;2020-08-01;32;0;"{""coordinates"": [2.3261811086617197, 48.83166568095635], ""type"": ""Point""}";48.83166568095635, 2.3261811086617197
LIVRAISON;ZL permanente;Longitudinal;16;1;1;16N;Lincoln;47;RUE DE LA;TOUR;angle av Paul Doumer;Droit;Impair;8.82426472;2.0;17.64892328;Présente;Absente;Conforme;;6;;;;;;;;936205G20060531120056;9347;1750607214;;;16Z3;STV Sud-Ouest;;2024-06-19;2024-06-14;47;51;"{""coordinates"": [2.28077214131629, 48.860363982892586], ""type"": ""Point""}";48.860363982892586, 2.28077214131629
LIVRAISON;ZL permanente;Longitudinal;14;1;1;14L;Chaussée;2;RUE;THIBAUD;;vis-à-vis;Impair;10.04152238;2.0;20.08272834;Présente;Absente;Conforme;;0;;;;;;;;926801G200509052749;9247;1750617126;;;14Z2A;STV Sud;;2023-04-20;2023-03-01;1;17;"{""coordinates"": [2.3280496385476974, 48.82963403524015], ""type"": ""Point""}";48.82963403524015, 2.3280496385476974
LIVRAISON;ZL permanente;Longitudinal;3;1;1;34F;Chaussée;18;RUE DU;PONT AUX CHOUX;;Droit;Pair;9.4883136;2.0;18.95469322;Présente;Absente;Conforme;;0;;;;;;;;760501D200509050589;7562;750606973;;;03Z3;STV Centre;;2024-11-04;2024-11-04;2;22;"{""coordinates"": [2.3652501940017947, 48.86125514827356], ""type"": ""Point""}";48.86125514827356, 2.3652501940017947
LIVRAISON;ZL permanente;Longitudinal;5;1;1;5H;Lincoln;200;RUE;SAINT-JACQUES;;Droit;Pair;12.16464399;2.0;24.32978717;Présente;Absente;Conforme;;0;;;;;;;;864810D200509051306;8871;750612359;;;05Z3;STV Sud;;2023-05-23;2023-03-02;194;202;"{""coordinates"": [2.342705840361482, 48.845728874539304], ""type"": ""Point""}";48.845728874539304, 2.342705840361482
LIVRAISON;ZL périodique;Longitudinal;14;1;1;14J;Chaussée;8;RUE;MARIE-DAVY;;Droit;Pair;12.3846213;2.0;24.7698527;Présente;Absente;Conforme;;0;;;;;;;;607401D200509051819;5997;750618158;;;14Z2B;STV Sud;;2024-11-19;2023-08-08;2;8;"{""coordinates"": [2.329323512529834, 48.82594952371918], ""type"": ""Point""}";48.82594952371918, 2.329323512529834
LIVRAISON;ZL permanente;Longitudinal;14;2;2;14J;Contre allée;95;AV DU;GENERAL LECLERC;;Droit;Impair;25.06926195;2.0;50.13769418;Présente;Absente;Conforme;;0;;;;;;;;406312G200509051237;4036;1750618311;;;14Z2B;STV Sud;;2024-11-19;2024-11-19;91;109;"{""coordinates"": [2.3265709556175715, 48.826406756526794], ""type"": ""Point""}";48.826406756526794, 2.3265709556175715
LIVRAISON;ZL périodique;Longitudinal;19;1;1;19J;Chaussée;9;RUE DE L';ATLAS;*** travaux;Droit;Impair;16.90020066;2.0;34.14441553;Présente;Absente;Conforme;;0;;;;;;;;051201G200509050177;0487;1750602015;;;19Z5;STV Nord-Est;;2023-05-16;2022-08-24;9;17;"{""coordinates"": [2.376066017297352, 48.87465709094806], ""type"": ""Point""}";48.87465709094806, 2.376066017297352
LIVRAISON;ZL permanente;Longitudinal;14;1;1;14P;Chaussée;2;RUE;BOISSONADE;;Droit;Pair;10.42559439;2.0;20.85128846;Présente;Absente;Conforme;;0;;;;;;;;107901D200509050281;1085;750614384;;;14Z4B;STV Sud;;2023-05-17;2022-08-30;2;22;"{""coordinates"": [2.334561773623033, 48.84004716659056], ""type"": ""Point""}";48.84004716659056, 2.334561773623033
LIVRAISON;ZL permanente;Longitudinal;6;1;1;6E;Chaussée;58;RUE;MONSIEUR LE PRINCE;;Droit;Pair;7.00968484;2.0;14.01939916;Présente;Absente;Conforme;;0;;;;;;;;644405D200509050742;6370;750611648;;;06Z4;STV Sud;;2023-05-25;2022-08-12;42;66;"{""coordinates"": [2.3407544380514973, 48.84815655069941], ""type"": ""Point""}";48.84815655069941, 2.3407544380514973
LIVRAISON;ZL périodique;Longitudinal;8;1;1;8F;Chaussée;7;RUE;EULER;;Droit;Impair;10.50167518;2.0;21.00330204;Présente;Absente;Conforme;;0;;;;;;;;344601G200509050773;3472;1750603165;;;08Z1;STV Nord-Ouest;;2023-05-31;2023-04-01;1;7;"{""coordinates"": [2.2983695145290635, 48.87096273017465], ""type"": ""Point""}";48.87096273017465, 2.2983695145290635
LIVRAISON;ZL permanente;Longitudinal;1;2;2;1E;Chaussée;22;RUE D';ARGENTEUIL;;Droit;Pair;23.01230996;2.0;46.02377076;Présente;Absente;Conforme;;0;;;;;;;;043302D200509050052;0409;750604919;;;01Z1;STV Centre;;2023-06-13;2023-06-01;20;28;"{""coordinates"": [2.3333339214062025, 48.866272350399726], ""type"": ""Point""}";48.866272350399726, 2.3333339214062025
LIVRAISON;ZL permanente;Longitudinal;1;3;3;1E;Chaussée;11;RUE;SAINTE-ANNE;;Droit;Impair;28.69946272;2.0;57.39970207;Présente;Absente;Conforme;;0;;;;;;;;853401G20140306150057;9023;1750605173;;;01Z1;STV Centre;;2024-04-18;2022-08-04;1;11;"{""coordinates"": [2.3353351468575103, 48.866003298896466], ""type"": ""Point""}";48.866003298896466, 2.3353351468575103
LIVRAISON;ZL permanente;Longitudinal;9;1;1;9G;Lincoln;7;RUE;BERGERE;;Droit;Impair;12.00002109;2.0;23.99995026;Présente;Absente;Conforme;;0;;;;;;;;088801G20140319144507;0885;1750602775;;;3;STV Centre;;2025-09-26;2025-09-01;1;7;"{""coordinates"": [2.346939730906972, 48.872123888400075], ""type"": ""Point""}";48.872123888400075, 2.346939730906972
LIVRAISON;ZL permanente;Longitudinal;20;2;2;20N;Lincoln;4;RUE;PAUL MEURICE;*** travaux;Droit;Pair;16.95265138;2.0;33.90563134;Présente;Absente;Conforme;;0;;;;;;;;717201D20140203115656;7112;750602208;;;20Z3;STV Nord-Est;;2023-08-03;2023-07-31;2;14;"{""coordinates"": [2.412202487106574, 48.87423763219599], ""type"": ""Point""}";48.87423763219599, 2.412202487106574
LIVRAISON;ZL périodique;Longitudinal;15;2;2;15E;Chaussée;20;RUE;JEAN REY;*** travaux;Droit;Impair;21.03715281;2.0;43.60552043;Présente;Absente;Conforme;;0;;;;;;;;494301G20140120110531;4838;1750608957;;;15Z1;STV Sud-Ouest;;2023-08-09;2022-09-08;9;11;"{""coordinates"": [2.2922154522638407, 48.85553528183418], ""type"": ""Point""}";48.85553528183418, 2.2922154522638407
LIVRAISON;ZL permanente;Longitudinal;12;1;1;12K;Chaussée;48;RUE DE;WATTIGNIES;;Droit;Pair;10.50814644;2.0;21.0166255;Présente;Absente;Conforme;;0;;;;;;;;995203D200509053173;9935;750615387;;;12ZE;STV Sud-Est;;2025-10-28;2025-11-01;26;52;"{""coordinates"": [2.3967628384000603, 48.83565899205186], ""type"": ""Point""}";48.83565899205186, 2.3967628384000603
LIVRAISON;ZL permanente;Longitudinal;11;1;1;11G;Chaussée;17;RUE;SAINT-SEBASTIEN;;Droit;Impair;8.14415612;2.0;16.28856701;Présente;Absente;Conforme;;0;;;;;;;;875602G200509052564;8980;1750607034;;;11Z2;STV Nord-Est;;2025-02-12;2025-02-12;3;25;"{""coordinates"": [2.3692325793632074, 48.86116380894778], ""type"": ""Point""}";48.86116380894778, 2.3692325793632074
LIVRAISON;ZL permanente;Longitudinal;14;1;1;14L;Chaussée;2;RUE;BOULARD;;Droit;Pair;12.68621882;2.0;25.3721394;Présente;Absente;Conforme;;0;;;;;;;;115801D200509050300;1164;750615884;;;14Z4A;STV Sud;;2025-02-26;2020-08-31;2;16;"{""coordinates"": [2.329663079053597, 48.83481896012499], ""type"": ""Point""}";48.83481896012499, 2.329663079053597
LIVRAISON;ZL permanente;Longitudinal;8;1;1;8J;Chaussée;71;RUE DE;MONCEAU;;Droit;Impair;7.93179023;2.0;15.86335852;Présente;Absente;Conforme;;0;;;;;;;;641905G200509052055;6346;1750600457;;;08Z4;STV Nord-Ouest;;2025-03-03;2021-07-31;69;73;"{""coordinates"": [2.313676120051622, 48.87918728730525], ""type"": ""Point""}";48.87918728730525, 2.313676120051622
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17H;Chaussée;38;RUE;BAYEN;;Droit;Pair;11.046012;2.0;22.09178965;Abimé;Absente;SH Non-conforme;;0;;;;;;;;074907D200509050392;0735;750599892;;;17ZG;STV Nord-Ouest;;2025-03-07;2022-01-06;38;40;"{""coordinates"": [2.2922663141819966, 48.881720806501384], ""type"": ""Point""}";48.881720806501384, 2.2922663141819966
LIVRAISON;ZL permanente;Longitudinal;11;1;1;11E;Chaussée;9;RUE DE;NEMOURS;;Droit;Impair;6.9451617;2.0;13.89043597;Présente;Absente;Conforme;;;;;;;;;45399;;6654;1750605326;;;11Z1;STV Nord-Est;;2025-12-12;2025-12-11;1;9;"{""coordinates"": [2.3725448581185717, 48.86546666309915], ""type"": ""Point""}";48.86546666309915, 2.3725448581185717
LIVRAISON;ZL permanente;Longitudinal;7;1;1;7M;Chaussée;86;RUE DU;BAC;;vis-à-vis;Impair;10.04414538;2.0;20.07506185;Présente;Absente;Conforme;;0;;;;;;;;062009G20111124133846;0605;1750609287;;;07Z3;STV Sud;;2020-08-21;2020-08-07;73;87;"{""coordinates"": [2.324433591307152, 48.85482969762285], ""type"": ""Point""}";48.85482969762285, 2.324433591307152
LIVRAISON;ZL périodique;Longitudinal;5;1;1;5E;Lincoln;74;BD DE;PORT-ROYAL;;Droit;Pair;5.22094732;2.0;10.44169144;Présente;Absente;Conforme;;0;;;;;;;;774006D200509051162;7710;750614820;;;05Z3;STV Sud;;2020-07-10;2020-07-09;64;74;"{""coordinates"": [2.3433249062351393, 48.83818531745265], ""type"": ""Point""}";48.83818531745265, 2.3433249062351393
LIVRAISON;ZL périodique;Longitudinal;19;1;1;19F;Lincoln;54;AV DE;FLANDRE;;Droit;Pair;8.85788165;2.0;17.71611908;Abimé;Absente;SH Non-conforme;;0;;;;;;;;365905D200509050935;3673;750598305;;;19Z1;STV Nord-Est;;2020-01-08;2020-08-31;50;54;"{""coordinates"": [2.373355826862205, 48.887687122836255], ""type"": ""Point""}";48.887687122836255, 2.373355826862205
