Régime prioritaire;Régime particulier;Type de stationnement;Arrondissement;Nombre places calculées;Nombre places réelles;Zones Résidentielles;Localisation stationnement;Numéro voie;Type voie;Nom voie;Complément numéro voie;Localisation numéro;Parité;Longueur;Largeur;Surface calculée;Signalisation horizontale;Signalisation verticale;Conformité signalisation;Type mobilier;Numéro mobilier;Plage horaire 1-Début;Plage horaire 1-Fin;Plage horaire 2-Début;Plage horaire 2-Fin;Plage horaire 3-Début;Plage horaire 3-Fin;Nouvel identifiant;Ancien identifiant;Code voie Ville de Paris;Numéro séquentiel Tronçon voie;Numéro ilot;Numéro IRIS;Zone ASP;Numéro Section Territoriale de Voirie;Compétence préfecture;Dernière modification;Date du relevé;1er numéro tronçon voie;Dernier numéro tronçon voie;geo_shape;geo_point_2d
LIVRAISON;ZL périodique;Longitudinal;7;1;1;7G;Contre allée;7;AV;RAPP;;Droit;Impair;9.05014633;2.0;18.10022473;Présente;Absente;Conforme;;0;;;;;;;;804102G200509051526;8052;1750607077;;;07Z1;STV Sud;;2022-04-05;2021-08-03;5;9;"{""coordinates"": [2.301335385543965, 48.860816812195836], ""type"": ""Point""}";48.860816812195836, 2.301335385543965
LIVRAISON;ZL périodique;Longitudinal;8;1;1;8J;Chaussée;15;RUE DE;LISBONNE;;Droit;Impair;10.02180907;2.0;20.03559295;Présente;Absente;Conforme;;0;;;;;;;;570803G200509051552;5648;1750600888;;;08Z4;STV Nord-Ouest;;2019-01-04;2020-08-31;13;15;"{""coordinates"": [2.3150571192557208, 48.87769473192283], ""type"": ""Point""}";48.87769473192283, 2.3150571192557208
LIVRAISON;ZL permanente;Longitudinal;3;1;1;3E;Chaussée;125;RUE;VIEILLE DU TEMPLE;;Droit;Impair;9.2722545;2.0;18.54463533;Présente;Absente;Conforme;;0;;;;;;;;978313G200509050986;9778;1750606860;;;03Z3;STV Centre;;2022-08-11;2022-06-01;125;0;"{""coordinates"": [2.3633643801010287, 48.86137759931642], ""type"": ""Point""}";48.86137759931642, 2.3633643801010287
LIVRAISON;ZL permanente;Longitudinal;1;1;1;1E;Chaussée;38;PL DU;MARCHE SAINT-HONORE;angle rue Gomboust;vis-à-vis;Pair;14.6029678;2.0;29.2037765;Absente;Avec panonceau;Non conforme;;0;;;;;;;;603304D200509050296;5957;750604339;;;01Z1;STV Centre;;2020-08-05;2020-07-16;40;42;"{""coordinates"": [2.3322766881776973, 48.86743198685476], ""type"": ""Point""}";48.86743198685476, 2.3322766881776973
LIVRAISON;ZL périodique;Longitudinal;5;1;1;5E;Chaussée;6;RUE;HENRI BARBUSSE;*** angle place Louis Marin;Droit;Pair;10.18746322;2.0;20.37490835;Abimé;Absente;SH Non-conforme;;0;;;;;;;;453501D20080930140904;4479;750613682;;;05Z3;STV Sud;;2022-02-08;2022-02-08;2;34;"{""coordinates"": [2.3392241178099855, 48.843716068279676], ""type"": ""Point""}";48.843716068279676, 2.3392241178099855
LIVRAISON;ZL périodique;Longitudinal;6;2;2;6F;Chaussée;17;RUE;MAYET;1** 19;Droit;Impair;14.29574984;2.0;28.59156494;Abimé;Absente;SH Non-conforme;;0;;;;;;;;622101G200509050651;6137;1750612290;;;06Z3;STV Sud;;2022-02-14;2022-02-14;1;29;"{""coordinates"": [2.3192379322152226, 48.84639763074755], ""type"": ""Point""}";48.84639763074755, 2.3192379322152226
LIVRAISON;ZL permanente;Longitudinal;12;1;1;12R;Lincoln;86;CRS DE;VINCENNES;;Droit;Pair;16.15963682;2.0;32.31872848;Abimé;Absente;SH Non-conforme;;0;;;;;;;;985008G20140219154346;9828;1750611922;;;12ZH;STV Sud-Est;;2019-01-04;2020-08-31;82;96;"{""coordinates"": [2.4069820967414706, 48.847115691571986], ""type"": ""Point""}";48.847115691571986, 2.4069820967414706
LIVRAISON;ZL périodique;Longitudinal;12;1;1;12E;Chaussée;1;RUE;LACUEE;;Droit;Impair;9.25759863;2.0;18.50422219;Présente;Absente;Conforme;;0;;;;;;;;523701G200509051856;5156;1750610984;;;12ZA;STV Sud-Est;;2019-01-04;2020-08-31;1;9;"{""coordinates"": [2.3687700274657866, 48.8499969476087], ""type"": ""Point""}";48.8499969476087, 2.3687700274657866
LIVRAISON;ZL périodique;Longitudinal;12;1;1;12F;Chaussée;12;PL DU;BATAILLON DU PACIFIQUE;;vis-à-vis;Inconnu;10.23767101;2.0;20.47584276;Présente;Absente;Conforme;;0;;;;;;;;087703D20080918155342;0700;750614054;;;12ZD;STV Sud-Est;;2019-01-04;2020-08-31;0;0;"{""coordinates"": [2.3802858255448753, 48.84027067283272], ""type"": ""Point""}";48.84027067283272, 2.3802858255448753
LIVRAISON;ZL périodique;Longitudinal;14;1;1;14J;Chaussée;2;RUE;MONTBRUN;;Droit;Pair;9.99994116;2.0;19.99953581;Présente;Absente;Conforme;;0;;;;;;;;646101D20111124142329;6386;750617277;;;14Z2A;STV Sud;;2022-06-07;2021-07-24;2;6;"{""coordinates"": [2.329893894845063, 48.82942342892534], ""type"": ""Point""}";48.82942342892534, 2.329893894845063
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15P;Chaussée;68;RUE DE L';EGLISE;;Droit;Pair;10.50428903;2.0;21.00860761;Présente;Absente;Conforme;;0;;;;;;;;317705D200509051663;3203;750613233;;;15Z3;STV Sud-Ouest;;2019-01-04;2020-08-31;52;76;"{""coordinates"": [2.290191741248139, 48.84332457874016], ""type"": ""Point""}";48.84332457874016, 2.290191741248139
LIVRAISON;ZL permanente;Longitudinal;20;1;1;20N;Chaussée;60;RUE DES;FRERES FLAVIEN;;Droit;Pair;13.90027072;2.0;27.80015572;Présente;Absente;Conforme;;0;;;;;;;;385705D20140929145118;3867;750601005;;;20Z3;STV Nord-Est;;2026-01-13;2025-08-28;60;0;"{""coordinates"": [2.4111457647301298, 48.87794428857794], ""type"": ""Point""}";48.87794428857794, 2.4111457647301298
LIVRAISON;ZL périodique;Longitudinal;12;1;1;12G;Lincoln;1;RUE;ERARD;;Droit;Impair;9.88950711;2.0;19.77910234;Présente;Absente;Conforme;;0;;;;;;;;331301G20081020175331;3342;1750612602;;;12ZC;STV Sud-Est;;2024-06-14;2024-05-24;1;7;"{""coordinates"": [2.3838456278010556, 48.84511966908094], ""type"": ""Point""}";48.84511966908094, 2.3838456278010556
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15H;Chaussée;4;RUE;ANTOINE BOURDELLE;;Droit;Pair;8.80501929;2.0;17.54953772;Présente;Absente;Conforme;;0;;;;;;;;037201D200509050306;0352;750613266;;;15Z8;STV Sud-Ouest;;2023-12-14;2023-08-09;2;28;"{""coordinates"": [2.3201250080823086, 48.843202755903654], ""type"": ""Point""}";48.843202755903654, 2.3201250080823086
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15K;Chaussée;1;RUE DE L';AMIRAL ROUSSIN;;Droit;Impair;8.10566779;2.0;16.21166151;Présente;Absente;Conforme;;0;;;;;;;;029101G200509050235;0286;1750612552;;;15Z4;STV Sud-Ouest;;2023-12-15;2023-08-10;1;19;"{""coordinates"": [2.298839966882121, 48.84587299300864], ""type"": ""Point""}";48.84587299300864, 2.298839966882121
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15L;Chaussée;4;RUE;GRAMME;;Droit;Pair;10.01044288;2.0;20.02067646;Abimé;Absente;SH Non-conforme;;0;;;;;;;;426301D200509052455;4226;750612517;;;15Z3;STV Sud-Ouest;;2023-12-19;2023-08-09;2;10;"{""coordinates"": [2.2950534671788265, 48.84539301892817], ""type"": ""Point""}";48.84539301892817, 2.2950534671788265
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15K;Chaussée;29;RUE;MADEMOISELLE;;Droit;Impair;10.26435979;2.0;20.51304457;Présente;Absente;Conforme;;0;;;;;;;;589302G200509053505;5820;1750613045;;;15Z3;STV Sud-Ouest;;2023-12-20;2023-08-10;29;31;"{""coordinates"": [2.2961888965333888, 48.84365158673362], ""type"": ""Point""}";48.84365158673362, 2.2961888965333888
LIVRAISON;ZL périodique;Longitudinal;6;1;1;6E;Chaussée;119;BD;SAINT-GERMAIN;;vis-à-vis;Pair;15.99477324;2.0;31.98897197;Présente;Absente;Conforme;;0;;;;;;;;861922D200509051118;8845;750609769;;;06Z2;STV Sud;;2020-08-12;2020-07-22;142;146;"{""coordinates"": [2.337589302997009, 48.85282394478979], ""type"": ""Point""}";48.85282394478979, 2.337589302997009
LIVRAISON;ZL périodique;Longitudinal;16;1;1;16F;Chaussée;174;RUE DE LA;POMPE;;Droit;Pair;9.75229746;2.0;19.5048743;Présente;Absente;Conforme;;0;;;;;;;;758715D200509054167;7544;750603359;;;16Z1;STV Sud-Ouest;;2019-01-04;2020-08-31;168;174;"{""coordinates"": [2.2833761793936374, 48.87095659653168], ""type"": ""Point""}";48.87095659653168, 2.2833761793936374
LIVRAISON;ZL périodique;Longitudinal;5;1;1;5E;Chaussée;24;BD DE;PORT-ROYAL;;Droit;Pair;10.27539512;2.0;20.55036917;Présente;Absente;Conforme;;0;;;;;;;;774002D200509051148;7710;750614960;;;05Z3;STV Sud;;2022-01-28;2022-01-28;24;44;"{""coordinates"": [2.348916761932649, 48.837173447757856], ""type"": ""Point""}";48.837173447757856, 2.348916761932649
LIVRAISON;ZL permanente;Longitudinal;1;1;1;1E;Chaussée;184;RUE DE;RIVOLI;;Droit;Pair;11.91001516;2.0;23.8198417;Présente;Absente;Conforme;;0;;;;;;;;824932D200509050435;8229;750606036;;;01Z1;STV Centre;;2022-07-27;2022-07-18;184;192;"{""coordinates"": [2.333364162687082, 48.86341257253309], ""type"": ""Point""}";48.86341257253309, 2.333364162687082
LIVRAISON;ZL permanente;Longitudinal;6;1;1;6G;Chaussée;48;RUE;MADAME;;Droit;Pair;9.16417935;2.0;19.24071479;Présente;Absente;Conforme;;0;;;;;;;;588606D20111128164222;5813;750611899;;;06Z3;STV Sud;;2019-01-04;2020-08-31;48;60;"{""coordinates"": [2.3316083632275575, 48.848277319700436], ""type"": ""Point""}";48.848277319700436, 2.3316083632275575
LIVRAISON;ZL périodique;Longitudinal;6;1;1;6F;Chaussée;58;RUE;SAINT-PLACIDE;;Droit;Pair;9.88054191;2.0;19.76067996;Présente;Absente;Conforme;;0;;;;;;;;873502D200509051188;8958;750611939;;;06Z3;STV Sud;;2019-01-04;2020-08-31;30;62;"{""coordinates"": [2.3263703491282293, 48.84738273475307], ""type"": ""Point""}";48.84738273475307, 2.3263703491282293
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15H;Chaussée;18;RUE DE L';ARRIVEE;;vis-à-vis;Impair;12.29573447;2.0;24.61191751;Abimé;Absente;SH Non-conforme;;0;;;;;;;;046902G200509050375;0438;1750613409;;;15Z8;STV Sud-Ouest;;2023-12-14;2023-08-09;1;29;"{""coordinates"": [2.321345353711097, 48.84245632283179], ""type"": ""Point""}";48.84245632283179, 2.321345353711097
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17S;Chaussée;52;RUE;GUY MOQUET;;Droit;Pair;10.68129989;2.0;21.36299936;Présente;Absente;Conforme;;0;;;;;;;;444006D200509051886;4392;750597280;;;17ZA;STV Nord-Ouest;;2019-01-04;2020-08-31;52;72;"{""coordinates"": [2.3250388384784513, 48.89245859672694], ""type"": ""Point""}";48.89245859672694, 2.3250388384784513
LIVRAISON;ZL périodique;Longitudinal;10;1;1;10F;Chaussée;51;RUE;ALBERT THOMAS;;Droit;Impair;13.30693916;2.0;26.61401305;Présente;Absente;Conforme;;0;;;;;;;;013103G200509050033;0155;1750603625;;;10Z4;STV Centre;;2019-01-04;2020-08-31;31;55;"{""coordinates"": [2.361819503167157, 48.87050284809009], ""type"": ""Point""}";48.87050284809009, 2.361819503167157
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15E;Chaussée;20;BD DE;GRENELLE;;Droit;Pair;11.32132767;2.0;22.64301787;Présente;Absente;Conforme;;0;;;;;;;;431015D20060802170755;4272;750609872;;;15Z1;STV Sud-Ouest;;2019-01-04;2020-08-31;6;32;"{""coordinates"": [2.2898987103131487, 48.85311260982856], ""type"": ""Point""}";48.85311260982856, 2.2898987103131487
LIVRAISON;ZL périodique;Longitudinal;19;1;1;19H;Chaussée;;RUE DE;CRIMEE;angle rue Meynadier;Droit;Impair;8.62052982;2.0;17.24063243;Présente;Absente;Conforme;;0;;;;;;;;244307G200509050620;2437;1750599333;;;19Z7;STV Nord-Est;;2019-01-04;2020-08-31;91;95;"{""coordinates"": [2.384332365100896, 48.884028104776974], ""type"": ""Point""}";48.884028104776974, 2.384332365100896
LIVRAISON;ZL périodique;Longitudinal;16;1;1;16U;Chaussée;54;RUE;JEAN DE LA FONTAINE;;Droit;Pair;5.35739822;2.0;10.71470776;Présente;Absente;Conforme;;0;;;;;;;;524908D200509052632;5168;750610545;;;16Z4;STV Sud-Ouest;;2020-08-19;2020-08-12;42;54;"{""coordinates"": [2.2711992027875705, 48.85071942688077], ""type"": ""Point""}";48.85071942688077, 2.2711992027875705
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17R;Chaussée;16;RUE;NOLLET;;Droit;Pair;15.96186206;2.0;31.92409941;Présente;Absente;Conforme;;0;;;;;;;;680302D20070529131059;6747;750598833;;;17ZJ;STV Nord-Ouest;;2019-01-04;2020-08-31;16;44;"{""coordinates"": [2.3237564013472296, 48.88547627245334], ""type"": ""Point""}";48.88547627245334, 2.3237564013472296
LIVRAISON;ZL permanente;Longitudinal;15;1;1;15G;Chaussée;166;AV DE;SUFFREN;;Droit;Pair;8.99996805;2.0;18.00033505;Abimé;Absente;SH Non-conforme;;0;;;;;;;;911421D200509054522;8728;750612164;;;15Z4;STV Sud-Ouest;;2020-08-20;2020-08-07;156;166;"{""coordinates"": [2.3084022629803322, 48.84638433867444], ""type"": ""Point""}";48.84638433867444, 2.3084022629803322
LIVRAISON;ZL périodique;Longitudinal;10;1;1;10G;Lincoln;126;BD DE;MAGENTA;;Droit;Pair;8.02026927;2.0;16.04063734;Abimé;Absente;SH Non-conforme;;0;;;;;;;;590718D20070222121933;5835;750594491;;;10Z1;STV Centre;;2020-08-26;2020-08-12;124;126;"{""coordinates"": [2.3526544287345352, 48.88021875935951], ""type"": ""Point""}";48.88021875935951, 2.3526544287345352
LIVRAISON;ZL permanente;Longitudinal;8;1;1;8F;Chaussée;7;RUE;MAGELLAN;;Droit;Impair;12.79375637;2.0;25.58727395;Présente;Absente;Conforme;;0;;;;;;;;590302G200509051667;5831;1750603467;;;08Z1;STV Nord-Ouest;;2019-05-22;2020-08-31;5;15;"{""coordinates"": [2.2999429962986353, 48.87022884872838], ""type"": ""Point""}";48.87022884872838, 2.2999429962986353
LIVRAISON;ZL permanente;Longitudinal;13;1;1;13K;Chaussée;4;RUE DES;WALLONS;6;Droit;Pair;14.32189059;2.0;27.87934201;Présente;Absente;Conforme;;0;;;;;;;;994001D200509053189;9912;750614569;;;13Z2;STV Sud-Est;;2019-01-04;2020-08-31;2;18;"{""coordinates"": [2.3606262231249557, 48.838984511229036], ""type"": ""Point""}";48.838984511229036, 2.3606262231249557
LIVRAISON;ZL périodique;Longitudinal;11;1;1;11E;Chaussée;126;AV;PARMENTIER;;Droit;Pair;7.89620556;2.0;16.08970354;Présente;Absente;Conforme;;0;;;;;;;;706715D200509051745;6991;750604094;;;11Z1;STV Nord-Est;;2019-01-04;2020-08-31;126;128;"{""coordinates"": [2.3724802104414198, 48.868173077990186], ""type"": ""Point""}";48.868173077990186, 2.3724802104414198
